f1,f2,f3,f4,f5,f6
65076.3157,717.272137,614702.065,4157211.28,5985.94866,0.0
70214.7242,30.1436548,1102586.37,2864324.82,92574.1277,2.70296511
68282.2208,428.151259,1469879.3,1263743.21,3972.56128,0.0
67824.6861,30.0910682,498557.96,6564952.53,201208.278,28417.7557
67762.6972,176.849255,523731.686,6247591.86,34857.0057,0.394280226
67156.2285,191.532105,335198.052,8199017.21,49189.0803,0.967563212
71297.7085,73.4731194,1077826.49,3306274.38,41994.214,0.679768558
65217.8989,145.780397,653483.176,3937289.49,30460.9623,0.218438493
66497.9311,350.740205,805868.031,3400836.07,10580.3967,0.0
70728.3329,30.0503199,794227.461,5137115.96,129638.479,1016.95474
64607.4096,1348.49847,490294.823,4942333.12,3734.48517,0.0
65071.0359,46.1170244,325240.777,6875841.01,198813.313,27292.4451
65071.4505,30.4217232,614339.582,4157958.2,158403.469,11074.5996
67785.6327,30.0187271,1339475.88,1514276.74,73217.0936,1.92868375
64034.9108,120.832599,335852.319,6131792.11,72543.6742,1.90174697
70564.9526,72.5596264,794032.514,5061604.07,56442.6345,1.25770538
68116.6527,1228.29056,1408489.13,1384786.26,1039.40556,0.0
66465.1812,42.8401543,824279.632,3283628.25,84179.3952,2.36717581
66591.7482,123.493373,852769.727,3161703.84,28208.5469,0.128341875
67339.9114,146.039128,329403.931,8424346.53,64929.322,1.59717288
70441.6387,101.542821,568379.756,7410393.22,57187.0302,1.28748121
69968.032,40.7600956,1112926.32,2749638.73,68316.8239,1.73267295
69301.1359,102.073513,1405181.03,1554446.69,21443.9697,0.0
69432.9632,55.019155,904134.306,3762775.4,62825.3951,1.51301581
63917.1391,416.600188,297787.439,6480517.83,23248.6287,0.0
66158.2101,1161.03116,882695.961,2883038.84,2233.15483,0.0
65621.8473,89.0538456,697901.452,3783527.76,47373.2422,0.894929688
67251.807,30.1436548,310812.361,8630535.22,320578.749,81417.4827
68048.2579,58.3497264,1355175.6,1509788.46,37091.2319,0.483649277
63877.0615,31.4193983,292651.429,6514440.18,322765.61,82264.8051
65481.1394,1348.29552,685759.281,3814228.89,2617.08303,0.0
67674.1371,30.5096143,472290.628,6776712.81,209304.49,31818.8843
64608.3941,170.035682,296232.775,6928160.31,59133.9073,1.36535629
65634.5069,631.434033,679487.956,3911300.03,6537.59263,0.0
67444.9026,30.4810543,1246009.19,1726296.64,77570.7912,2.10283165
66231.5376,112.820993,911521.4,2760708.79,28216.8284,0.128673137
66295.9458,42.383479,636391.323,4482504.06,110843.859,3.43375437
64713.6358,32.6288149,516471.383,4769012.45,175767.931,17542.6528
64416.9419,31.7518432,397584.47,5705858.19,235057.191,42479.2533
65459.9409,105.528856,641665.626,4110297.99,43496.9092,0.73987637
68636.2627,328.50863,1547079.99,1141763.96,5174.22573,0.0
66928.0375,82.9149642,295248.571,8605224.03,124277.995,3.98428037
64161.7154,686.090684,331600.689,6250374.36,12481.8975,0.0
65479.7219,370.851217,493021.163,5333293.65,16502.1852,0.0
67136.9208,33.7575999,306081.972,8609668.54,290856.921,67120.461
68090.4626,1294.5732,1408489.13,1381427.84,921.077149,0.0
65094.6766,502.443354,501606.649,5069952.19,11553.0006,0.0
66400.0528,875.026161,884942.537,2936909.98,3442.10353,0.0
64033.6147,142.01927,335852.319,6131055.32,61606.8375,1.4642735
65440.3937,60.5624849,712941.738,3624309.2,68130.6041,1.72522416
67614.7749,78.8774062,357242.304,8233169.83,108857.684,3.35430737
70332.7323,42.8401543,715995.868,5674237.68,101861.391,3.07445565
66404.3508,1349.29681,949702.418,2624984.81,1646.60341,0.0
64423.5127,201.983696,438956.385,5312784.04,32796.1946,0.311847784
64896.1026,31.1509042,567481.74,4438422.6,167512.787,14344.1752
67828.0742,447.038173,1343412.98,1509868.14,4221.13039,0.0
66295.9458,140.155033,636391.323,4482504.06,33907.4019,0.356296074
66211.243,30.1661507,685340.517,4084330.21,144133.461,5999.52242
63860.1925,450.505895,286825.6,6570527.76,22272.9856,0.0
64225.3649,138.164093,384071.79,5738761.89,55311.6155,1.21246462
66267.3118,737.286549,926409.606,2699047.46,3622.71484,0.0
65755.7266,701.84064,599096.591,4549368.78,7167.23526,0.0
67840.5002,734.940102,1354138.0,1483661.44,2224.83653,0.0
67052.2271,90.3860325,476422.8,6351192.99,71203.3682,1.84813473
64752.3701,198.944222,295369.309,7031817.97,50870.0711,1.03480284
64292.8402,33.1960624,404324.879,5574815.67,220875.334,36508.073
72106.2081,176.035816,2390001.32,363350.737,6756.62385,0.0
64861.9485,464.225645,533949.534,4690213.5,11341.743,0.0
66524.6664,170.87315,811201.84,3377781.95,21524.6026,0.0
64251.552,734.720176,386108.731,5732358.99,9760.75578,0.0
65259.4696,66.2368508,594812.871,4377300.93,75040.8848,2.00163539
64740.5786,1340.45538,522727.813,4729176.6,3494.29563,0.0
65707.1357,374.33194,783400.763,3286412.41,9382.53958,0.0
64465.591,30.013425,451821.787,5215482.41,218602.284,35552.0846
66435.371,43.8905997,905440.533,2843302.49,74407.1017,1.97628407
66721.5801,685.264569,1055215.25,2249922.11,3349.27895,0.0
68864.4907,405.073823,1623014.35,1021844.61,3781.12069,0.0
66392.8682,30.00282,448007.171,6277387.63,222793.85,37423.5863
68247.9352,30.003433,1462569.52,1275857.24,67027.1043,1.68108417
66816.2499,1218.3987,1075808.65,2189866.37,1525.25064,0.0
67612.1218,133.248739,682050.936,4677492.6,34612.233,0.384489321
68793.0504,166.335808,360418.083,9132938.78,54258.3784,1.17033514
64895.7199,300.10714,565922.407,4450323.44,16756.5904,0.0
65548.0777,118.818447,741692.471,3482051.28,32990.375,0.319615001
68603.3751,1178.23353,1551328.58,1129904.13,892.124285,0.0
65159.6333,185.382206,302293.303,7214958.72,53770.2509,1.15081004
69867.9159,30.2435494,658177.465,6010119.81,154035.077,9754.72867
70706.6659,33.5715854,1623014.35,1212160.44,55982.2812,1.23929125
64373.506,49.8654078,414091.721,5522020.83,143357.784,5677.05722
69566.971,30.3220867,1771380.88,842470.258,54809.942,1.19239768
65110.6235,85.817604,624620.875,4099096.94,54731.1737,1.18924695
66721.5273,1321.5022,1055215.25,2249911.1,1368.5971,0.0
66883.682,34.998971,1085056.44,2168425.59,77626.1766,2.10504706
63906.2766,50.0003678,301515.595,6432134.06,196559.142,26284.1859
69432.9425,41.6965865,693403.34,5429375.53,106824.808,3.27299231
69141.2432,108.69462,1699704.13,917437.277,15346.1143,0.0
65014.8936,1341.52719,592705.583,4294879.16,3004.46689,0.0
65658.6878,34.998971,757703.859,3421287.79,111468.322,3.45873288
65644.9754,280.793339,765118.374,3373141.6,13092.0962,0.0
69470.2714,31.7927345,380702.264,9387518.18,251107.796,49515.3981
65480.7759,30.0165691,693403.34,3763706.55,142289.31,5296.87634
68366.2415,30.8494329,1361922.04,1536815.24,70612.8445,1.82451378
66629.8491,316.989732,637395.21,4615372.09,15660.637,0.0
65988.4052,64.2973397,485445.015,5665036.26,96158.5488,2.84634195
66733.9337,1296.41238,1020966.64,2390812.1,1645.40666,0.0
65616.0429,95.7525965,305649.662,7482985.64,102843.302,3.11373208
72136.2182,69.1390303,1260189.5,2601931.26,38752.8215,0.550112859
66396.2403,607.573557,954293.239,2602142.61,4426.5353,0.0
64311.3374,424.087356,290542.856,6807013.52,23899.9107,0.0
66135.2529,70.6676575,891529.58,2833027.87,46482.112,0.859284481
64316.5525,54.5062333,412301.729,5510074.19,131605.87,1456.29268
64393.6346,52.1035036,315378.747,6569051.25,180774.736,19672.0878
65777.9901,422.589836,802558.373,3199618.84,8008.6834,0.0
65379.3115,313.147054,694447.783,3721697.18,12923.6187,0.0
69432.9425,52.0883086,693403.34,5429375.53,86298.5371,2.45194149
65218.3339,95.7525965,653545.034,3937024.54,46771.3017,0.870852068
66000.1717,444.815255,694447.783,3942212.17,9592.55561,0.0
65615.3983,312.839863,757439.004,3409154.6,11798.7463,0.0
65592.6982,297.020677,363534.919,6751386.38,28473.0813,0.138923253
65691.0035,44.8560325,764158.726,3393228.24,86088.2062,2.44352825
64134.0607,159.775475,299442.219,6593159.82,61690.2492,1.46760997
64487.3013,1306.06102,451870.061,5225551.98,4303.09485,0.0
67400.8905,33.0665128,430265.954,7108426.14,211811.376,32866.3882
65453.5914,30.4674807,713423.491,3625706.15,136104.632,3071.56396
66677.4091,650.261945,949520.639,2693139.58,4459.66686,0.0
65750.2921,245.589275,795728.612,3229564.84,14457.2283,0.0
67793.2482,30.0735987,1279262.63,1682724.61,76827.3755,2.07309502
68152.9944,430.849708,1309529.55,1650541.82,5062.6683,0.0
64299.583,37.6719064,343674.4,6199170.35,229279.076,40054.5787
65492.0524,38.8591485,718644.534,3605752.1,105792.682,3.23170727
68642.0459,64.3211859,424380.478,8057421.43,113165.118,3.52660471
66782.9618,89.3140228,1004630.6,2470951.2,32678.3672,0.307134687
66007.5732,285.17877,784658.602,3371853.37,12874.4621,0.0
65326.1177,1033.36975,682050.936,3784138.92,3457.15563,0.0
67522.7026,30.2249741,1135170.66,2108652.69,86516.5291,2.46066116
65224.3715,676.464097,655042.104,3928981.1,5949.03764,0.0
76347.3928,90.8127314,2847033.63,243071.087,14118.9436,0.0
66230.1396,30.084172,458872.58,6067587.48,216734.029,34864.2903
67744.3179,849.186695,1281775.82,1667799.1,2170.68858,0.0
63844.4835,56.3429228,285651.875,6574378.11,184068.674,21032.4108
63994.5282,333.350773,325178.243,6223396.36,26683.6748,0.06734699
64868.3963,1307.19701,558568.693,4496228.22,3315.67858,0.0
68096.2933,67.697948,433807.001,7535256.1,104807.345,3.19229379
68128.0042,30.0433054,729390.893,4518683.17,138022.662,3900.008
66935.7311,124.607116,1111554.14,2080735.37,20716.3653,0.0
64917.635,69.1349899,573117.287,4403896.02,74312.7154,1.97250862
65099.7579,31.708765,621223.786,4119246.2,150253.593,8149.5294
64476.3031,71.1577325,300043.811,6798598.63,139236.301,4226.10631
66945.9035,37.7595893,400632.173,7175408.87,198969.874,27447.8126
66940.5214,909.250967,1111554.14,2081659.68,2188.10213,0.0
65433.0203,114.889634,297397.232,7463483.7,88087.5426,2.5235017
66987.8674,66.075878,1115806.06,2075406.09,39628.7434,0.585149734
68328.742,148.929139,1484293.21,1237769.85,12694.1979,0.0
68022.7024,466.510481,1386721.55,1425768.06,3903.79934,0.0
66062.1718,684.509689,814445.152,3217795.1,4850.72714,0.0
69434.2894,428.294061,1727708.42,897871.076,3482.38416,0.0
64850.3988,136.767801,554112.505,4523671.63,38492.5578,0.539702311
65254.4708,599.940921,661738.58,3894319.54,6734.55441,0.0
66951.7087,205.176243,305655.219,8469374.61,50179.7855,1.00719142
66205.6258,185.199173,743110.445,3691814.28,21604.5613,0.0
66513.4585,151.909133,569252.322,5140597.15,35498.1502,0.419926006
63959.6173,441.853221,314202.803,6322888.91,20675.1244,0.0
69057.204,79.6680474,1286543.47,1868118.35,29958.4319,0.198337275
64699.9231,45.9889304,400345.944,5829461.88,161301.432,12137.742
68295.0711,30.8585847,729390.893,4589219.67,134629.382,2691.01609
63985.8742,145.925098,301885.131,6475612.32,66858.8225,1.6743529
65963.484,30.0644027,506559.741,5448080.77,196061.891,26147.6321
